area_type,location,size,total_sqft,bath,balcony,price
0,Electronic City Phase II,2,1056,2.0,1.0,39.07
0,Electronic City Phase II,2,1056,2.0,1.0,39.07
1,Chikka Tirupathi,4,2600,5.0,3.0,120.0
2,Uttarahalli,3,1440,2.0,3.0,62.0
0,Lingadheeranahalli,3,1521,3.0,1.0,95.0
0,Kothanur,2,1200,2.0,1.0,51.0
0,Whitefield,2,1170,2.0,1.0,38.0
0,Marathahalli,3,1310,3.0,1.0,63.25
0,Whitefield,3,1800,2.0,2.0,70.0
1,Whitefield,4,2785,5.0,3.0,295.0
0,7th Phase JP Nagar,2,1000,2.0,1.0,38.0
2,Gottigere,2,1100,2.0,2.0,40.0
1,Sarjapur,3,2250,3.0,2.0,148.0
0,Mysore Road,2,1175,2.0,2.0,73.5
0,Bisuvanahalli,3,1180,3.0,2.0,48.0
0,Raja Rajeshwari Nagar,3,1540,3.0,3.0,60.0
0,Ramakrishnappa Layout,3,2770,4.0,2.0,290.0
0,Manayata Tech Park,2,1100,2.0,2.0,48.0
2,Kengeri,1,600,1.0,1.0,15.0
0,Binny Pete,3,1755,3.0,1.0,122.0
1,Thanisandra,4,2800,5.0,2.0,380.0
0,Bellandur,3,1767,3.0,1.0,103.0
0, Thanisandra,1,510,1.0,0.0,25.25
0,Mangammanapalya,3,1250,3.0,2.0,56.0
0,Electronic City,2,660,1.0,1.0,23.1
2,Whitefield,3,1610,3.0,2.0,81.0
0,Ramagondanahalli,2,1151,2.0,2.0,48.77
0,Electronic City,3,1025,2.0,1.0,47.0
0,Bisuvanahalli,3,1075,2.0,1.0,35.0
0,Hebbal,3,1760,2.0,2.0,123.0
0,Raja Rajeshwari Nagar,3,1693,3.0,3.0,57.39
0,Kanakpura Road,2,700,2.0,1.0,36.0
0,Electronics City Phase 1,2,1070,2.0,1.0,45.5
0,Kundalahalli,3,1724,3.0,2.0,125.0
0,Chikkalasandra,3,1290,2.0,2.0,56.12
2,Uttarahalli,2,1143,2.0,2.0,45.0
0,Sarjapur  Road,3,1254,3.0,2.0,38.0
0,Ganga Nagar,1,600,1.0,0.0,38.0
1,Yelahanka,1,660,1.0,0.0,48.0
0,Doddathoguru,2,970,2.0,0.0,33.0
0,Whitefield,2,1459,2.0,1.0,94.82
1,KR Puram,2,800,1.0,1.0,130.0
2,Himagiri Meadows,2,869,2.0,1.0,36.0
0,Adarsh Nagar,2,1270,2.0,1.0,50.0
0,Bhoganhalli,3,1670,3.0,1.0,99.0
2,Whitefield,3,2010,3.0,2.0,91.0
0,Lakshminarayana Pura,2,1185,2.0,2.0,75.0
0,Yelahanka,3,1600,2.0,3.0,75.0
0,Begur Road,2,1200,2.0,2.0,44.0
0,Ramakrishnappa Layout,2,1500,2.0,2.0,185.0
1,Murugeshpalya,6,1407,4.0,1.0,150.0
0,Govindaraja Nagar Ward,2,840,2.0,2.0,45.0
1,Tharabanahalli,3,4395,3.0,2.0,240.0
0,Ganga Nagar,2,845,2.0,1.0,55.0
1,Whitefield,4,5700,5.0,3.0,650.0
2,Varthur,2,1160,2.0,2.0,44.0
2,Bommanahalli,8,3000,8.0,0.0,140.0
0,Doddathoguru,2,1100,2.0,1.0,62.0
0,Gunjur,2,1140,2.0,3.0,43.0
0,Marathahalli,2,1220,2.0,1.0,57.0
1,Devarachikkanahalli,8,1350,7.0,0.0,85.0
0,Kanakpura Road,2,1005,2.0,1.0,36.68
1,Double Road,3,500,3.0,2.0,100.0
0,Begur Road,2,1358,2.0,1.0,80.58
0,Hegde Nagar,3,1569,3.0,1.0,101.0
0,Haralur Road,2,1240,2.0,1.0,70.0
0,Hennur Road,3,2089,3.0,2.0,140.0
0,Kothannur,2,1206,2.0,1.0,48.23
0,Kalena Agrahara,2,1150,2.0,3.0,40.0
2,Cholanayakanahalli,3,2511,3.0,3.0,205.0
2,Kaval Byrasandra,2,460,1.0,0.0,22.0
2,ISRO Layout,6,4400,6.0,3.0,250.0
0,Kodanda Reddy Layout,3,1660,2.0,2.0,105.0
0,Yelahanka,2,1326,2.0,2.0,78.0
0,Garudachar Palya,3,1325,2.0,2.0,60.8
0,EPIP Zone,3,1499,5.0,2.0,102.0
2,Hegde Nagar,6,3000,7.0,2.0,210.0
0,Kanakpura Road,3,1665,3.0,2.0,88.0
0,Dasanapura,2,708,2.0,2.0,37.0
0,Kasavanhalli,2,1060,2.0,2.0,58.06
1,Rajaji Nagar,6,710,6.0,3.0,160.0
2,Sanjay nagar,2,1000,2.0,2.0,70.0
0,Electronic City,2,1000,2.0,1.0,28.88
0, Mysore Highway,3,1450,2.0,2.0,70.0
1,ISRO Layout,4,1200,4.0,2.0,155.0
0,Thanisandra,2,1296,2.0,3.0,80.0
0,Domlur,3,1540,3.0,2.0,90.0
1,Kengeri,4,2894,4.0,1.0,245.0
0,Sarjapura - Attibele Road,3,1330,2.0,1.0,48.0
2,Devasthanagalu,2,1200,2.0,1.0,65.0
2,T Dasarahalli,3,1200,3.0,1.0,90.0
0,Yeshwanthpur,3,2502,3.0,3.0,138.0
2,Chandapura,2,650,1.0,1.0,17.0
1,Kothanur,3,2400,2.0,1.0,150.0
0,Green View Layout,2,1007,2.0,2.0,43.0
0,Shantiniketan Layout,2,1200,2.0,2.0,50.0
0,Peenya,2,966,2.0,2.0,49.9
2,Nagarbhavi,3,1630,2.0,1.0,98.0
2,Rajaji Nagar,3,1640,3.0,2.0,229.0
2,Jalahalli West,2,782,2.0,2.0,55.68
0,Devanahalli,2,1260,2.0,2.0,66.78
0,Lakshmiamma Garden,3,1800,3.0,3.0,120.0
0,Byatarayanapura,3,1413,2.0,2.0,75.0
0,Whitefield,2,1116,2.0,1.0,51.91
0,Electronic City,3,1530,2.0,1.0,45.9
2,Ramamurthy Nagar,4,3700,4.0,1.0,225.0
2,Sarjapur  Road,3,2497,3.0,2.0,140.0
0,Kengeri,3,1540,2.0,3.0,64.0
0,Thanisandra,3,1436,3.0,1.0,74.75
0,Malleshwaram,2,1100,2.0,2.0,75.0
1,Hennur Road,2,276,3.0,3.0,23.0
0,Thanisandra,3,1427,3.0,2.0,120.0
0,Akshaya Nagar,3,2061,3.0,1.0,200.0
2,Shampura,4,2650,4.0,2.0,150.0
0,Devanahalli,3,1282,2.0,2.0,68.52
2,Kadugodi,2,1050,2.0,1.0,34.0
2,LB Shastri Nagar,3,1600,3.0,2.0,65.0
0,Vajarahalli,2,945,2.0,1.0,54.0
0,Hormavu,2,1500,2.0,1.0,78.0
1,Vishwapriya Layout,7,950,7.0,0.0,115.0
2,Peenya,3,1870,3.0,3.0,110.0
1,Sarjapur,3,1600,3.0,1.0,75.0
0,Electronic City,2,880,1.0,1.0,16.5
1,Ramaswamy Palya - Kammanahalli Main Road,4,1200,4.0,0.0,210.0
0,Kudlu Gate,3,1535,3.0,2.0,83.0
2,Kanakpura Road,2,950,2.0,1.0,57.0
0,Devanahalli,2,1360,2.0,1.0,65.0
0,Bommasandra Industrial Area,3,1280,3.0,1.0,50.4
0,Chandra Layout,3,1260,2.0,2.0,85.05
0,Yelahanka,5,3050,5.0,1.0,213.0
0,ISRO Layout,2,1000,2.0,1.0,60.0
0,Anandapura,2,1167,2.0,1.0,43.76
0,Vishveshwarya Layout,7,4000,7.0,2.0,225.0
0,Kengeri Satellite Town,2,890,2.0,1.0,35.0
0,Basavanapura,3,1612,3.0,3.0,46.74
0,Mysore Road,3,1710,4.0,2.0,91.31
0,Kannamangala,2,957,2.0,1.0,58.0
0, Devarachikkanahalli,3,1250,2.0,3.0,44.0
0,Hulimavu,2,1125,2.0,2.0,50.0
0,Electronic City Phase II,2,1020,2.0,1.0,30.6
0,Kalena Agrahara,2,1200,2.0,2.0,50.0
0,Thanisandra,3,1735,3.0,3.0,135.0
0,Thanisandra,3,2050,3.0,1.0,145.0
1,Mahalakshmi Layout,4,3750,4.0,0.0,760.0
2,Yarandahalli,3,1350,2.0,3.0,48.0
0,Hosa Road,2,1063,2.0,1.0,32.0
0,Keshava Nagar,3,1904,3.0,1.0,150.0
2,Whitefield,4,4200,4.0,2.0,420.0
0,RMV Extension,3,2000,3.0,1.0,175.0
0,Tejaswini Nagar,3,1425,2.0,2.0,75.0
0,Electronic City,3,1500,2.0,1.0,64.5
2,Electronic City,2,1060,2.0,1.0,60.0
2,Jai Bheema Nagar,3,1470,2.0,2.0,70.0
0,Kothnur Narayanapura,6,1300,6.0,0.0,99.0
0,Attibele,1,450,1.0,1.0,11.0
0,Electronic City,2,1152,2.0,1.0,64.5
0,Electronic City,3,1350,2.0,1.0,56.0
0,CV Raman Nagar,3,1550,3.0,3.0,65.0
1,CHIKKATIRUPATHI,3,1500,3.0,2.0,100.0
1,Kumaraswami Layout,5,600,3.0,2.0,85.0
1,Nagavara,1,400,1.0,0.0,14.0
0,Malleshwaram,1,705,1.0,2.0,67.0
2,Electronic City,2,770,1.0,1.0,36.0
0,Hulimavu,2,1242,2.0,3.0,51.0
0,Hebbal Kempapura,3,1700,3.0,2.0,155.0
0,Thanisandra,3,2144,3.0,2.0,145.0
0,Vijayanagar,3,1704,3.0,2.0,110.0
0,Electronic City,2,1070,2.0,1.0,52.0
1,8th block Koramangala,3,1846,3.0,2.0,300.0
0,Jakkuru Layout,2,1340,2.0,2.0,55.7
2,Electronic City,2,1025,2.0,1.0,46.0
0,Marathahalli,2,1200,2.0,2.0,52.0
2,Kanakpura Road,4,2250,4.0,1.0,110.0
0,Pattandur Agrahara,3,1550,2.0,3.0,80.0
1,Ejipura,7,1800,7.0,1.0,250.0
0,Marathahalli,2,1200,2.0,2.0,60.0
0,Yelahanka,2,1327,2.0,2.0,98.0
0,Kothanur,2,1186,2.0,2.0,58.0
2,MS Pallya,3,1783,3.0,1.0,115.0
0,HSR Layout,3,1400,3.0,2.0,56.0
0,Nagasandra,2,980,2.0,1.0,48.0
0,EPIP Zone,2,1285,2.0,2.0,82.0
0,Langford Town,3,912,2.0,1.0,70.0
2,Whitefield,2,1225,2.0,2.0,47.6
0,Whitefield,2,1075,2.0,1.0,53.0
2,Kadugodi,3,1260,2.0,2.0,54.0
0,Yelahanka,3,1282,2.0,2.0,48.7
0,Kogilu,3,1909,3.0,2.0,88.0
0,Panathur,2,1359,2.0,1.0,87.0
2,Nagondanahalli,2,1207,2.0,2.0,43.5
1,Padmanabhanagar,4,1736,6.0,0.0,190.0
0,1st Block Jayanagar,4,2850,4.0,1.0,428.0
0,Kammasandra,3,1595,3.0,2.0,65.0
2,"Off Sarjapur Road, ",3,1798,3.0,2.0,89.0
0,Electronics City Phase 1,3,1475,3.0,2.0,78.29
0,Tala Cauvery Layout,3,1580,3.0,3.0,100.0
0,Dasarahalli,2,1295,2.0,1.0,65.0
2,Magadi Road,6,3600,6.0,0.0,141.0
0,Electronic City,1,589,1.0,1.0,27.0
0,Ngef Layout,3,1415,3.0,3.0,78.0
0,Sarjapur  Road,3,1787,3.0,2.0,98.29
0,Sarjapur  Road,3,1787,3.0,2.0,125.0
0,Koramangala,3,1475,2.0,3.0,90.0
2,"Lakshminarayanapura, Electronic City Phase 2",4,2000,4.0,1.0,75.5
0,Sarjapur  Road,2,984,2.0,1.0,44.28
0,Muthurayya Swamy Layout,3,2405,4.0,2.0,260.0
2,7th Phase JP Nagar,2,1080,2.0,2.0,72.0
1,Shantiniketan Layout,2,1500,2.0,1.0,115.0
0,Hebbal,3,1900,3.0,2.0,119.0
0,Dommasandra,2,805,2.0,1.0,22.14
0,Budigere,2,1153,2.0,2.0,56.4
0,Dodda Nekkundi Extension,2,1148,2.0,2.0,60.0
0,Mylasandra,2,1110,2.0,2.0,55.0
2,Electronic City,2,1100,2.0,2.0,42.0
0,Kalyan nagar,2,1290,2.0,2.0,110.0
0,Dr Shivarama Karantha Nagar,3,1500,2.0,1.0,65.0
0,Bank Of Baroda Colony,2,1080,2.0,2.0,39.0
0,Vijayanagar,3,1933,3.0,1.0,129.0
2,Ramamurthy Nagar,5,3500,5.0,2.0,150.0
2,Kullappa Colony,2,1060,2.0,2.0,60.0
0,Chandapura,1,645,1.0,1.0,16.45
1,Mukkutam Nagar,8,2600,8.0,2.0,180.0
0,Chandapura,1,645,1.0,1.0,16.45
0,Ashwath Nagar,3,1644,3.0,3.0,84.0
0,Ncpr Industrial Layout,2,1285,2.0,3.0,72.5
1,Electronic City,3,1200,3.0,1.0,90.0
0,Electronic City,2,910,2.0,1.0,40.0
0,Kothanur,3,1577,3.0,1.0,70.0
1,Meenakunte,3,4050,3.0,2.0,280.0
0,OMBR Layout,3,2420,3.0,2.0,185.0
0,Chandapura,2,800,1.0,1.0,20.0
2,Anand Nagar,2,1060,2.0,2.0,55.0
0,7th Phase JP Nagar,2,1270,2.0,2.0,93.0
0,Shree Ananth Nagar Layout,2,900,2.0,2.0,22.5
2,Kundalahalli Colony,2,1280,2.0,1.0,69.0
1,Horamavu Agara,4,1200,2.0,0.0,95.0
2,Sarjapur  Road,2,1025,2.0,2.0,36.0
0,Electronic City,2,1108,2.0,1.0,63.0
0,Coffee Board Layout,3,3045,3.0,2.0,170.0
1,Ambedkar Nagar,4,2900,3.0,2.0,300.0
0,Vijayanagar,3,1500,3.0,2.0,75.5
0,Raja Rajeshwari Nagar,2,1295,2.0,2.0,43.9
0,Budigere,2,1162,2.0,1.0,59.9
0,Sarjapur  Road,2,1035,2.0,2.0,49.2
2,Attibele,4,1600,4.0,0.0,52.8
0,KUDLU MAIN ROAD,3,1464,3.0,2.0,46.0
0,Hennur Road,3,1866,2.0,2.0,61.58
0,Geleyara Balaga Layout,2,700,1.0,1.0,26.0
0,Kalena Agrahara,3,1804,3.0,2.0,120.0
0,Sarjapur,2,913,2.0,1.0,32.0
0,Talaghattapura,3,1868,3.0,2.0,131.0
2,Kengeri Satellite Town,2,883,2.0,1.0,45.0
1,Sundara Nagar,2,900,2.0,1.0,110.0
0,Kogilu,3,1664,2.0,3.0,73.95
0,Hegde Nagar,3,2026,3.0,2.0,132.0
0,Balagere,2,1210,2.0,1.0,80.9
1,Meenakunte,4,4111,4.0,2.0,250.0
0,Kadugodi,3,1762,3.0,3.0,91.45
0,Jigani,3,1252,3.0,3.0,55.0
2,Gollarapalya Hosahalli,2,861,2.0,1.0,34.5
2,7th Phase JP Nagar,3,1420,2.0,1.0,100.0
1,Srirampura,6,1450,6.0,0.0,250.0
2,Electronics City Phase 1,3,1490,3.0,1.0,78.8
0,Bisuvanahalli,3,1075,2.0,1.0,46.0
0,Old Madras Road,3,1425,2.0,2.0,94.0
2,Kalena Agrahara,2,1200,2.0,1.0,40.0
0,Kaggadasapura,3,1280,2.0,2.0,56.0
0,Silver Springs Layout,2,1084,2.0,2.0,50.0
0,Chandapura,2,1015,2.0,2.0,25.88
0,Kanakpura Road,2,1017,2.0,1.0,51.25
0,Haralur Road,2,1027,2.0,2.0,44.0
0,Electronic City Phase II,2,1069,2.0,2.0,45.0
0,Hebbal,2,1349,2.0,1.0,98.2
0,9th Phase JP Nagar,2,1005,2.0,1.0,50.0
0,Jakkur,2,1417,2.0,3.0,75.0
1,TC Palaya,3,1475,3.0,1.0,98.0
3,Maruthi Sevanagar,2,950,2.0,2.0,47.0
0,RMV 2nd Stage,4,2000,4.0,0.0,120.0
1,Giri Nagar,3,880,3.0,1.0,140.0
0,Sarjapur  Road,4,1863,3.0,2.0,104.0
0,Singasandra,2,1010,2.0,1.0,29.5
0,Kalena Agrahara,3,1425,2.0,1.0,70.0
0,Vijayanagar,3,1450,3.0,0.0,100.0
0,Kothanur,3,1847,3.0,2.0,105.0
0,AECS Layout,2,1100,2.0,3.0,45.0
0,Kanakpura Road,1,525,1.0,1.0,26.0
0,Mallasandra,3,1665,3.0,2.0,95.0
0,Begur,4,1664,4.0,3.0,65.0
0,JP Nagar,3,1850,3.0,3.0,150.0
0,Panathur,2,1438,2.0,3.0,100.0
0,Sunder Ram Shetty Nagar,3,1560,3.0,3.0,115.0
0,Yelahanka,2,1350,2.0,1.0,55.55
0,Kanakpura Road,3,1550,3.0,3.0,67.0
0,Malleshpalya,2,1140,2.0,2.0,46.5
1,Srirampura,5,1200,5.0,2.0,180.0
0,Kodathi,2,850,2.0,2.0,27.0
0,Whitefield,2,1280,2.0,2.0,75.0
2,Munnekollal,2,1170,2.0,2.0,52.0
0,Motappa Layout,2,1113,2.0,1.0,51.0
0,Hennur Road,2,1385,2.0,1.0,83.09
0,Electronic City,2,1128,2.0,1.0,65.0
1,Marathahalli,2,1200,2.0,2.0,128.0
1,Akshaya Vana,4,1200,4.0,3.0,165.0
0,Rajaji Nagar,3,2390,3.0,2.0,415.0
1,Giri Nagar,4,2400,4.0,1.0,400.0
0,Haralur Road,3,1464,3.0,2.0,56.0
0,Manayata Tech Park,2,1200,2.0,2.0,55.0
0,Kaval Byrasandra,2,1200,2.0,2.0,52.0
0,Kaggalipura,3,1150,2.0,1.0,55.0
2,Basavanna Nagar,3,1645,3.0,2.0,95.0
0,Sarjapur  Road,2,1000,2.0,1.0,67.0
1,Haralur Road,4,2650,4.0,2.0,198.0
0,6th Phase JP Nagar,2,1192,2.0,2.0,74.0
0,Ulsoor,3,2135,3.0,2.0,215.0
0,Whitefield,2,1173,2.0,1.0,58.0
2,Uttarahalli,2,1020,2.0,2.0,45.0
0,Thigalarapalya,4,3122,6.0,2.0,230.0
0,Somasundara Palya,3,1600,3.0,3.0,64.0
1,T.C PALYA,2,1200,2.0,0.0,79.0
3,Muneshwara Nagar,2,1230,2.0,3.0,48.0
0, Devarachikkanahalli,2,1250,2.0,2.0,40.0
0,Kalena Agrahara,2,1325,2.0,2.0,76.0
2,7th Phase JP Nagar,3,1850,3.0,1.0,150.0
0,Basaveshwara Nagar,2,1200,2.0,2.0,65.0
1,Bull Temple Road,3,1350,2.0,0.0,140.0
0,Bommasandra,3,1260,3.0,1.0,49.36
0,Prashanth Nagar,3,1800,3.0,0.0,150.0
2,Ardendale,2,1100,2.0,1.0,43.25
0,Harlur,2,1508,2.0,1.0,77.0
